Questions,Answers,Label,Source
What are Alexander Elder's Three Ms of successful trading?,"Elder's Three Ms are Mind (psychology), Method (trading system), and Money (risk management). He argues that all three must be mastered simultaneously — a brilliant method with poor psychology will fail just as surely as a poor method with strong psychology. Of the three, Elder repeatedly places Mind first because emotional failures destroy accounts that technique alone cannot save.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
Why does Elder place psychology at the top of his trading hierarchy?,"Elder places psychology first because even a trader with a reliable system and sound risk rules will self-destruct if their emotions override their plan. Fear causes premature exits; greed causes overtrading; denial prevents cutting losses. He writes that if a trader's mind is not in gear with the markets, there is no chance of making money regardless of the quality of the indicators used.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What is Elder's most famous statement connecting the trader's mind to trading success?,"Elder writes: 'The key to winning is inside your head.' This statement, which appears throughout his work, encapsulates his conviction that the mental dimension of trading — managing emotions, maintaining discipline, and confronting self-deception — is more decisive than any technical tool or system.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
How does Elder describe the trader's greatest enemy?,"Elder identifies the trader's greatest enemy as the person they see in the mirror every morning. External factors — bad brokers, market manipulation, bad luck — are minor compared to the internal enemies of greed, fear, impulsivity, and self-deception that most traders carry into every trade.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What does Elder mean when he calls trading 'a serious intellectual pursuit'?,"Elder uses this phrase to contrast professional and amateur mindsets. Treating trading as a serious intellectual pursuit means approaching it with the same rigour, discipline, and long-term commitment as a demanding profession — not as a get-rich-quick game or a source of excitement. Emotional trading, he says, is lethal; intellectual discipline is the foundation of survival.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What three psychological goals does Elder set for a beginning trader?,"Elder sets three sequential goals: first, long-term survival (staying in the game); second, a steady growth of capital; and third, making high profits. He teaches that most beginners reverse this order, focusing immediately on profits while ignoring survival — which is why most blow up their accounts in the first year.",Psychology,Goodreads – Trading for a Living (community reviews & quotes) | https://www.goodreads.com/book/show/104311.Trading_for_a_Living
How does Elder describe the psychological trap of overconfidence after early wins?,"Elder observes that a dangerous pattern afflicts virtually every beginning trader: they win a few times early, conclude that trading is easy, and start taking excessively large risks. The beginner's early success is a trap — it creates the illusion of skill where only luck has operated — and the overconfident expansion of size that follows typically destroys the account.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
What does Elder say about the role of commitment in trading psychology?,Elder places 'deciding to be in the market for the long haul' as his first rule of psychological preparation. A trader who views each losing stretch as a potential reason to quit will never develop the resilience and pattern recognition that profitable trading requires. The commitment to remain a trader even 20 years from now creates the psychological foundation for learning from mistakes rather than abandoning the pursuit.,Psychology,Goodreads – Trading for a Living (community reviews & quotes) | https://www.goodreads.com/book/show/104311.Trading_for_a_Living
Why does Elder say 'emotional trading is lethal'?,"Emotional trading is lethal because decisions made under the influence of fear, greed, or excitement violate the rational risk-reward calculations that make a system work. Each emotionally driven override of a rule introduces random variability that nullifies the edge of even the best system over time. Elder argues that the rule of trading as a 'serious intellectual pursuit' is the antidote.",Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
"What is the psychological significance of Elder's phrase 'plan a trade, trade a plan'?",This phrase encapsulates Elder's core psychological discipline. Making all trading decisions before the market opens — when the trader has full objectivity — means that execution during market hours requires no new psychological effort. The plan has already been made; the only remaining task is following it. This structure protects the trader from impulsive deviations triggered by real-time emotional reactions.,Psychology,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
