Questions,Answers,Label
Who is Dr. Alexander Elder?,"Dr. Alexander Elder is a professional trader, psychiatrist, and author best known for his book ""Trading for a Living,"" which emphasizes that psychology is the most critical factor in trading success.",Psychology
Why does Elder believe psychology is the most important factor in trading?,"Elder argues that markets are made up of human beings, and human emotions like fear, greed, and hope constantly distort judgment. Without mastering the mind, even the best strategy will fail.",Psychology
What are Elder's ""Three M's"" of trading?,"Elder's Three M's are Mind (psychology), Method (strategy), and Money (risk management). He considers Mind the foundation — without it, Method and Money cannot function properly.",Psychology
What does Elder mean by ""Mind"" in the Three M's?,"Mind refers to the trader's psychological discipline — the ability to control emotions, follow a plan, and avoid impulsive decisions driven by fear or greed.",Psychology
How does Elder describe the average losing trader's psychology?,"Elder says most losing traders are undisciplined, emotional, and act on impulse. They chase losses, overtrade, and let small losses turn into large ones because they cannot accept being wrong.",Psychology
What is Elder's concept of ""psychological self-analysis"" in trading?,"Elder encourages traders to keep a journal and regularly review their trades not just for strategy, but for emotional patterns — asking why they felt anxious, greedy, or hesitant during a trade.",Psychology
What role does self-awareness play in Elder's trading philosophy?,"Self-awareness is central to Elder's philosophy. He believes traders must understand their own emotional triggers and biases before they can consistently execute a sound strategy.",Psychology
Why does Elder compare trading to psychotherapy?,"Elder, being a psychiatrist, draws parallels between trading and therapy — both require honest self-examination, recognizing destructive patterns, and making conscious changes in behavior.",Psychology
What is Elder's view on greed in trading?,"Elder views greed as one of the most dangerous emotions in trading. Greedy traders hold winning positions too long, hoping for more gains, and often turn winners into losers.",Psychology
How does Elder describe fear in trading?,"Fear causes traders to exit positions too early, miss entries, or freeze during volatile markets. Elder says fear is often rooted in past losses and must be managed through planning and discipline.",Psychology
What does Elder say about hope in trading?,"Elder warns that hope is destructive when it causes traders to hold losing positions, expecting a reversal that never comes. He says hope should never replace a stop-loss.",Psychology
What is the ""Losers Anonymous"" concept Elder references?,"Elder references Alcoholics Anonymous as a model — just as an alcoholic must first admit their problem, a losing trader must admit their emotional weaknesses before they can change.",Psychology
Why does Elder say most traders are their own worst enemy?,"Elder argues that the market itself is not the problem — the trader's own psychology is. Self-sabotage, undisciplined behavior, and emotional decisions cause most trading losses.",Psychology
What is Elder's view on the psychology of revenge trading?,"Revenge trading — trying to immediately recover a loss with another trade — is one of the most destructive psychological behaviors Elder identifies. It leads to larger losses and emotional spiraling.",Psychology
How does Elder recommend a trader recover psychologically after a big loss?,"Elder recommends stopping trading temporarily, reviewing the journal, identifying what went wrong emotionally, and only returning when in a calm, disciplined state of mind.",Psychology
What does Elder say about overconfidence in trading?,"Overconfidence typically follows a winning streak and leads traders to take oversized risks. Elder warns that markets will quickly punish arrogance and that humility is essential.",Psychology
How does Elder define a disciplined trader?,"A disciplined trader follows their trading plan consistently, does not deviate based on emotions, and treats every trade as just one of many in a long series — not a make-or-break event.",Psychology
What is Elder's view on the psychology of accepting losses?,"Elder teaches that accepting small losses quickly is a sign of strength, not weakness. Refusing to accept a loss is an ego problem that causes small mistakes to become catastrophic ones.",Psychology
Why does Elder emphasize keeping a trading journal?,"A trading journal forces the trader to confront their emotional states and decisions objectively. Elder considers it the single most important tool for psychological development.",Psychology
What should a trading journal include according to Elder?,"According to Elder, a trading journal should record entry and exit prices, the reasoning behind the trade, the emotional state before and after, and a post-trade review of what was done well or poorly.",Psychology
How does Elder view the relationship between a trader's ego and performance?,"Elder believes a large ego is a trader's enemy. When traders need to be right more than they need to make money, they hold losers too long and make irrational decisions to protect their self-image.",Psychology
What does Elder say about the psychology of patience in trading?,"Elder teaches that patience — waiting for high-quality setups rather than forcing trades — is a hallmark of professional traders. Impatience is a symptom of emotional trading.",Psychology
How does Elder describe the psychological trap of ""getting even"" with the market?,"Trying to ""get even"" with the market after a loss is a sign that the trader is emotionally compromised. Elder says the market has no memory of you and does not owe you anything.",Psychology
What is Elder's view on the psychology of position sizing?,"Elder connects position sizing directly to psychology — taking oversized positions creates emotional pressure that leads to poor decisions. Proper sizing lets a trader think clearly.",Psychology
Why does Elder say that successful traders think in probabilities?,"Thinking in probabilities removes the emotional weight from any single trade. Elder teaches that no trade is certain, and accepting this reduces anxiety and improves decision-making.",Psychology
What psychological qualities does Elder say the best traders share?,"The best traders are disciplined, emotionally detached from individual trade outcomes, self-aware, humble, and consistent. They treat trading as a business, not a gambling activity.",Psychology
How does Elder describe the psychological difference between amateurs and professionals?,"Amateurs react emotionally to market movements and focus on how much money they made or lost. Professionals follow a process and evaluate performance by the quality of their decisions.",Psychology
What does Elder say about the need for a trading plan?,"A trading plan is a psychological anchor. It tells the trader in advance what to do in any situation, reducing the influence of fear and greed in the moment of decision.",Psychology
