Questions,Answers,Label,Source
What is Alexander Elder's 2% Rule?,The 2% Rule states that a trader must never risk more than 2% of their total account equity on any single trade. Risk is defined as the dollar difference between the entry price and the stop-loss level multiplied by the number of shares — not the total value of the position.,Risk Management,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
How does Elder define 'risk' in the 2% Rule?,"Risk is not the total cost of the position. It is the dollar amount you could lose if the trade is stopped out — calculated as the distance from the entry price to the stop-loss price, multiplied by the number of shares or contracts traded.",Risk Management,A Discounted View – Managing Position Level Risk with Elder's 2% Rule | http://adiscountedview.blogspot.com/2016/03/managing-position-level-risk-with-dr.html
Why does the 2% Rule use account equity rather than position value?,"Using account equity rather than position value links risk directly to what the trader can actually afford to lose. A position could be worth many times 2% of an account, but as long as the stop-loss limits the potential loss to 2%, the rule is satisfied.",Risk Management,"Step by Step Trading – Elder (2015, elder.com) | https://s3-us-west-2.amazonaws.com/elderdownload/wp/wp-content/uploads/20180314155306/Step_by_Step_Trading_Elder.pdf"
How do you calculate the maximum number of shares using the 2% Rule?,"First, calculate 2% of account equity to get the maximum dollar risk. Then divide that amount by the per-share risk (entry price minus stop-loss price). The result is the maximum number of shares you may buy. For example: $20,000 account × 2% = $400 maximum risk. Entry at $30, stop at $28 = $2 risk per share. $400 ÷ $2 = 200 shares maximum.",Risk Management,"Step by Step Trading – Elder (2015, elder.com) | https://s3-us-west-2.amazonaws.com/elderdownload/wp/wp-content/uploads/20180314155306/Step_by_Step_Trading_Elder.pdf"
"What is a worked example of the 2% Rule on a $100,000 account?","On a $100,000 account, 2% equals $2,000 maximum risk per trade. If a trader buys a stock at $30 and places a stop at $26, the risk per share is $4. Dividing $2,000 by $4 gives a maximum position size of 500 shares.",Risk Management,A Discounted View – Managing Position Level Risk with Elder's 2% Rule | http://adiscountedview.blogspot.com/2016/03/managing-position-level-risk-with-dr.html
"What is a worked example of the 2% Rule on a $20,000 account?","On a $20,000 account, 2% is $400 maximum risk. If the entry is $30 and the stop is $28 — a $2 risk per share — the trader may buy at most 200 shares. Fewer shares are acceptable; the 2% calculation sets the ceiling, not a requirement.",Risk Management,"Step by Step Trading – Elder (2015, elder.com) | https://s3-us-west-2.amazonaws.com/elderdownload/wp/wp-content/uploads/20180314155306/Step_by_Step_Trading_Elder.pdf"
Does the 2% Rule require a trader to always risk exactly 2%?,"No. The 2% Rule sets a maximum, not a requirement. Traders are perfectly welcome to risk less — for example, 1% or even 0.5% per trade. Elder specifically states that most professional traders risk well below the 2% ceiling, closer to 1% per position.",Risk Management,A Discounted View – Managing Position Level Risk with Elder's 2% Rule | http://adiscountedview.blogspot.com/2016/03/managing-position-level-risk-with-dr.html
What does Elder say about professional traders and the 2% Rule?,"Elder notes that most professional traders risk even less than 2% per trade. He explicitly states: 'Good traders tend to stay well below the 2% limit. Try to risk less than 2% — it is simply the maximum level.' The 2% level is an absolute ceiling, not a target.",Risk Management,A Discounted View – Managing Position Level Risk with Elder's 2% Rule | http://adiscountedview.blogspot.com/2016/03/managing-position-level-risk-with-dr.html
What problem does the 2% Rule specifically protect against?,The 2% Rule protects against a single catastrophic loss — what Elder calls a 'shark bite.' One oversized position that blows up can wipe out months or even years of accumulated gains. The 2% cap ensures no single trade can deal a fatal blow to the account.,Risk Management,"Step by Step Trading – Elder (2015, elder.com) | https://s3-us-west-2.amazonaws.com/elderdownload/wp/wp-content/uploads/20180314155306/Step_by_Step_Trading_Elder.pdf"
How does the 2% Rule change with different account sizes?,"The dollar amount changes proportionally, but the percentage principle is constant. A $10,000 account risks a maximum of $200 per trade. A $50,000 account risks $1,000. A $200,000 account risks $4,000. Elder notes that larger account holders tend to risk an even lower percentage because large absolute dollar losses create disproportionate psychological pressure.",Risk Management,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
Can the 2% Rule be adjusted for higher-risk traders?,"Elder generally recommends that the 2% Rule is used as an absolute maximum. However, some authors note that aggressive traders may adapt the framework to a 5% per-trade maximum — though Elder himself discourages this, emphasizing that capital preservation is paramount for long-term survival.",Risk Management,SteadyOptions – How Position Sizing Impacts Your Returns | https://steadyoptions.com/articles/position-sizing/
Why is it important NOT to confuse the 2% risk with 2% of position size?,"Confusing risk with position size is a critical error. A trader could hold a position worth 30–40% of their account and still satisfy the 2% Rule, provided the stop-loss limits the potential loss to 2% of equity. The 2% refers exclusively to the downside exposure, not the capital committed.",Risk Management,A Discounted View – Managing Position Level Risk with Elder's 2% Rule | http://adiscountedview.blogspot.com/2016/03/managing-position-level-risk-with-dr.html
What happens if a trader violates the 2% Rule?,Violating the 2% Rule exposes the account to a loss large enough to impair the trader's ability to recover. Elder compares oversized losses to a shark bite — one hit can take a trader permanently out of the market. Even one violation can undo weeks or months of disciplined gains.,Risk Management,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
How does the 2% Rule help during a losing streak?,"By capping each loss at 2%, a series of consecutive losing trades produces predictable, manageable drawdowns. Ten consecutive losses at 2% risk would deplete the account by roughly 18%, leaving 82% of equity intact and a realistic path to recovery — compared to a 50% or greater drawdown from oversized trades.",Risk Management,Grokipedia – The New Trading for a Living | https://grokipedia.com/page/the_new_trading_for_a_living_psychology_discipline_trading_tools_and_systems_risk_control_trade_mana
What role does the stop-loss play in the 2% Rule?,"The stop-loss is the mechanism that enforces the 2% Rule. Without a stop-loss, risk is theoretically unlimited, because the position could fall to zero. The stop-loss converts an open-ended risk into a defined, capped exposure that can be calculated and controlled.",Risk Management,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
How should a trader set the stop-loss level before applying the 2% Rule?,The stop-loss level should be set first based on technical analysis — at a logical level below support for a long trade — and then the 2% Rule is applied to calculate the correct position size. The technical level drives the stop; the 2% Rule then determines how many shares to buy.,Risk Management,"Step by Step Trading – Elder (2015, elder.com) | https://s3-us-west-2.amazonaws.com/elderdownload/wp/wp-content/uploads/20180314155306/Step_by_Step_Trading_Elder.pdf"
"What does Elder say about writing down entry, target, and stop before every trade?","Elder insists that every trade requires three numbers to be written down before placement: entry, target, and stop. Without all three, a trade becomes a gamble. The stop in particular is non-negotiable — it defines risk, and without it, proper position sizing is impossible.",Risk Management,"Step by Step Trading – Elder (2015, elder.com) | https://s3-us-west-2.amazonaws.com/elderdownload/wp/wp-content/uploads/20180314155306/Step_by_Step_Trading_Elder.pdf"
Why does the 2% Rule require the stop to be set in advance rather than after entry?,"Setting the stop before entry is the only moment of complete objectivity. Once a trader is in a position, fear or hope distorts judgment. A pre-set stop removes the emotional temptation to widen it later when the trade goes against you.",Risk Management,Ticker Tape / TD Ameritrade – How the 2% and 6% Rules Can Help | https://tickertape.tdameritrade.com/trading/rules-to-manage-risk-15908
What is the relationship between account size and the 2% Rule?,"As account size grows, the absolute dollar risk per trade increases, but the percentage stays fixed at 2% or less. Elder recommends that larger accounts actually use a lower percentage — since large dollar amounts create greater psychological pressure and can lead to impaired decision-making.",Risk Management,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
How does the 2% Rule support long-term survival in trading?,"By keeping losses small and proportional to equity, the 2% Rule ensures the trader always has enough capital remaining to take the next trade. Elder compares this to a scuba diver monitoring their air supply — surviving to trade another day is more important than any single trade outcome.",Risk Management,"Step by Step Trading – Elder (2015, elder.com) | https://s3-us-west-2.amazonaws.com/elderdownload/wp/wp-content/uploads/20180314155306/Step_by_Step_Trading_Elder.pdf"
What is the Iron Triangle of Risk Control?,"The Iron Triangle is Elder's visual framework for position sizing. Point A equals the maximum dollar risk (2% of account equity). Point B equals the risk per share (entry price minus stop-loss price). Point C — the number of shares to trade — equals A divided by B. All three points are fixed by calculation, not guesswork.",Risk Management,StockCharts ChartWatchers – Dr Elder Joins ChartWatchers | https://stockcharts.com/articles/chartwatchers/2010/05/dr-alexander-elder-joins-chartwatchers.html
How did Elder illustrate the Iron Triangle in a real trade?,"In a trade on the gold stock AUY, Elder decided to risk $500 (his maximum for that week). His initial plan had a $0.24 risk per share (entry $9.85, stop $9.61), allowing 2,000 shares. When he entered at $9.79 instead, the risk per share dropped to $0.18. Dividing $500 by $0.18 allowed him to increase the position to 3,000 shares — demonstrating how the Iron Triangle automatically adjusts position size when entry improves.",Risk Management,StockCharts ChartWatchers – Dr Elder Joins ChartWatchers | https://stockcharts.com/articles/chartwatchers/2010/05/dr-alexander-elder-joins-chartwatchers.html
What does Elder mean when he says the 2% Rule is the most important rule of risk control?,"Elder writes that the most important rule of risk control is the 2% Rule because without it, a single bad trade can remove a trader from the market permanently. All other tools — indicators, systems, psychology — are irrelevant if one position wipes out the account before they can be applied.",Risk Management,"Step by Step Trading – Elder (2015, elder.com) | https://s3-us-west-2.amazonaws.com/elderdownload/wp/wp-content/uploads/20180314155306/Step_by_Step_Trading_Elder.pdf"
What does Elder say about beginners and risk calculation?,"Elder observes that most beginners spend zero time calculating and managing risk. Just before placing a trade, they may impulsively double their usual size after a win or skip a trade after a loss. Both choices are equally wrong because they are emotional rather than mathematical, and neither follows a consistent risk framework.",Risk Management,"Step by Step Trading – Elder (2015, elder.com) | https://s3-us-west-2.amazonaws.com/elderdownload/wp/wp-content/uploads/20180314155306/Step_by_Step_Trading_Elder.pdf"
How does the 2% Rule compare to a stop on an individual trade?,"Elder explicitly compares the 2% Rule to placing a stop-loss on a single position. Just as a stop limits the damage any one trade can do to a position, the 2% Rule limits the damage any one trade can do to the entire account.",Risk Management,"Step by Step Trading – Elder (2015, elder.com) | https://s3-us-west-2.amazonaws.com/elderdownload/wp/wp-content/uploads/20180314155306/Step_by_Step_Trading_Elder.pdf"
How do brokerage commissions interact with the 2% Rule?,"Elder notes that some practitioners of the 2% Rule include an allowance for brokerage commissions and slippage within the 2% calculation. The logic is that commissions are a real cost of the trade and should be counted as part of the total risk exposure, not treated as a separate expense.",Risk Management,BWTS Ask Colin – Could you explain the 6% Rule | https://www.bwts.com.au/resources/ask-colin/817-could-you-explain-the-6-rule-as-opposed-to-the-2-rule-and-sugges.html
"Is the 2% Rule applicable to all markets — stocks, futures, forex, options?","Yes. Elder designed the 2% Rule as a universal capital protection principle applicable across all trading vehicles — stocks, futures, options, forex, and CFDs. The calculation methodology is identical; only the unit of risk (per share, per contract, per lot) differs by market.",Risk Management,The New Trading for a Living – Elder (2014) | https://procapital.mohdfaiz.com/books/books-image/mainBook/The%20New%20Trading%20for%20a%20Living.pdf
How does proper position sizing from the 2% Rule change total portfolio returns?,Position sizing has a dramatic effect on total returns. A trade with a small average loss but large allocation can generate far higher portfolio returns than a trade with a higher win rate but poor sizing. Elder's framework ensures that high-conviction trades can be sized appropriately while maintaining hard risk limits.,Risk Management,SteadyOptions – How Position Sizing Impacts Your Returns | https://steadyoptions.com/articles/position-sizing/
What is the key insight that separates the 2% Rule from simply 'trading smaller'?,The 2% Rule is not a blanket instruction to trade smaller. It is a dynamic framework that scales position size to both account equity and the specific risk of each trade. A tight stop allows a larger position; a wide stop requires a smaller one. This makes the rule adaptive rather than rigid.,Risk Management,A Discounted View – Managing Position Level Risk with Elder's 2% Rule | http://adiscountedview.blogspot.com/2016/03/managing-position-level-risk-with-dr.html
